start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-03-24T09:00:00-07:00,2018-03-24T21:00:00-07:00,LS64 Gauthier,Deliver to MEC,,6.7 KeV 3rd harmonic of 20.1,NC-MEC,,harmonic,harmonic,False,https://www.google.com/calendar/event?eid=NGlrYTAyM2kxNXA0NG1rbTNvNGdwbGt1bW9fMjAxODAzMjRUMTYwMDAwWiBua2E1cjhmZm1yaWs1amNkaWg4bnU3M3Ixa0Bn
2018-03-25T09:00:00-07:00,2018-03-25T21:00:00-07:00,LS64 Gauthier,Deliver to MEC,,6.7 KeV 3rd harmonic of 20.1,NC-MEC,,harmonic,harmonic,False,https://www.google.com/calendar/event?eid=NGlrYTAyM2kxNXA0NG1rbTNvNGdwbGt1bW9fMjAxODAzMjVUMTYwMDAwWiBua2E1cjhmZm1yaWs1amNkaWg4bnU3M3Ixa0Bn
2018-03-26T09:00:00-07:00,2018-03-26T21:00:00-07:00,LS64 Gauthier,Deliver to MEC,,6.7 KeV 3rd harmonic of 20.1,NC-MEC,,harmonic,harmonic,False,https://www.google.com/calendar/event?eid=NGlrYTAyM2kxNXA0NG1rbTNvNGdwbGt1bW9fMjAxODAzMjZUMTYwMDAwWiBua2E1cjhmZm1yaWs1amNkaWg4bnU3M3Ixa0Bn
