start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-01-24T11:30:00-08:00,2018-01-24T19:00:00-08:00,"LS65 setup, fresh slice 930 eV upto SXR spectrometer","LS65 setup, fresh slice 930 eV upto SXR spectrometer",,,NC-MD-FEEH,,fresh_slice,fresh_slice;setup_tune,False,https://www.google.com/calendar/event?eid=MGJudjVjZHE5YzlzdjM1cDRtNTVqNzA1dDIgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-02-01T22:00:00-08:00,2018-02-02T06:00:00-08:00,Fresh Slice and Delta,Fresh Slice and Delta,,,NC-MD-FEEH,,fresh_slice,fresh_slice,False,https://www.google.com/calendar/event?eid=M3VlOG90YWRtbm81MjdmdWc1ODBtaGwzdW8gbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-09-11T20:00:00-07:00,2018-09-12T04:00:00-07:00,"LU20 Setup: Multi-stage fresh slice, 530 eV","LU20 Setup: Multi-stage fresh slice, 530 eV",,,NC-MD-FEEH,,fresh_slice,fresh_slice;setup_tune,False,https://www.google.com/calendar/event?eid=NzI2bW4zMDQ4ZjNub21hYnE1aDF0ZWRkNDcgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2025-02-26T15:00:00-08:00,2025-02-27T02:00:00-08:00,Twin Bunch/HXR Fresh Slice,Twin Bunch/HXR Fresh Slice,"10.576 GeV, K=2.5515",9.66 keV,NC-XRT,,fresh_slice,fresh_slice,False,https://www.google.com/calendar/event?eid=MHNyb3VyMXBmMGk0ZzgzYWdqbmozbWxubjQgajk4ZTk3YzZnN2xnbm8zYWhybTM2MWcxZGNAZw
