start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2022-11-08T15:00:00-08:00,2022-11-08T16:00:00-08:00,MPS for Toroid,MPS for Toroid,,,SC Linac MD,,sase,,False,https://www.google.com/calendar/event?eid=aDN1a2I3YmFxOTFudHVtNzNnazY2ZHAyZWcgZ285ZHZ0MmZqOWc2OTUxcXZpcDA1cGJpMzBAZw
2024-04-06T12:00:00-07:00,2024-04-07T03:00:00-07:00,TMO MBES,Deliver to TMO,,,SC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=M2M5ZzFxdWZidWZldWp2MnBsOGIyaTM3c2wgZThjNTEyODhhYTZmZTg5YzczMDRmNjY1ZTRmZjU0MjQwMDU5YjUyYzBmMjI0MWQwZGJkZTkxMzk5ZjU2MmYzM0Bn
2024-10-27T15:00:00-07:00,2024-10-27T19:00:00-07:00,parasitic FEL with Badger?,parasitic FEL with Badger?,,,SC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=MHBzbnVsZ2ozMTBldTBjMXNkZmowcjZwc3QgNGVkZmNjOWI5NTkwMzQ5MDlhYzkwMzU5MTc0ODIzNzBjMDA3YjI4ZGNlYWNiNmVkZDljOTIyM2YwZjk0NGE2ZUBn
2024-12-06T16:00:00-08:00,2024-12-06T20:00:00-08:00,S30XL,S30XL,,,SC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=NTR0YTIwOGgwNW1hdmlqdjhobTR0aWc0anAgNGVkZmNjOWI5NTkwMzQ5MDlhYzkwMzU5MTc0ODIzNzBjMDA3YjI4ZGNlYWNiNmVkZDljOTIyM2YwZjk0NGE2ZUBn
2025-02-03T18:00:00-08:00,2025-02-04T06:00:00-08:00,SXU and FEES Used for NC Beam to HXU and TXI,SXU and FEES Used for NC Beam to HXU and TXI,,,SC-MD-FEES,Beam Unavailable,sase,,False,https://www.google.com/calendar/event?eid=MnZjaTlrNmFjY3BtYXVtNmEzdmQ0c2huNGQgNGVkZmNjOWI5NTkwMzQ5MDlhYzkwMzU5MTc0ODIzNzBjMDA3YjI4ZGNlYWNiNmVkZDljOTIyM2YwZjk0NGE2ZUBn
2025-03-21T17:00:00-07:00,2025-03-21T20:00:00-07:00,"❌❌SXRFEL performance @850eV,  beam loss with 33kHz","❌❌SXRFEL performance @850eV,  beam loss with 33kHz","70pC, FEL vs photon energy? XTCAV/STCAV",,SC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=M2o1Zmpna3NjamprMWRlMTM4YmNxNnFxODYgNGVkZmNjOWI5NTkwMzQ5MDlhYzkwMzU5MTc0ODIzNzBjMDA3YjI4ZGNlYWNiNmVkZDljOTIyM2YwZjk0NGE2ZUBn
2025-03-22T00:00:00-07:00,2025-03-22T06:00:00-07:00,Recover beam and FEL,Recover beam and FEL,"70pC, 400eV, check beam loss at 16kHz",,SC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=N3I1OGdlOG0zMzJnMjhpb200dmVxOGoxZHYgNGVkZmNjOWI5NTkwMzQ5MDlhYzkwMzU5MTc0ODIzNzBjMDA3YjI4ZGNlYWNiNmVkZDljOTIyM2YwZjk0NGE2ZUBn
2025-04-05T19:00:00-07:00,2025-04-06T00:00:00-07:00,"1100eV tuning:  FEL, beam loss vs rate, orbit, collimator etc.","1100eV tuning:  FEL, beam loss vs rate, orbit, collimator etc.",also vs Charge. (200uJ at 1100eV?),,SC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=MXJlOGs3Nm5vMjZhdDVyOGkwZWllMzdzc3UgNGVkZmNjOWI5NTkwMzQ5MDlhYzkwMzU5MTc0ODIzNzBjMDA3YjI4ZGNlYWNiNmVkZDljOTIyM2YwZjk0NGE2ZUBn
2025-04-07T06:00:00-07:00,2025-04-07T18:00:00-07:00,ChemRIXS 1013326 Kunnus,Deliver to ChemRIXS,"500-570 & 1020-1100 eV, bursting",,SC-ChemRIXS,,sase,,False,https://www.google.com/calendar/event?eid=NjFzdDlvOWdmZ2gxb2tzcG43cjJiczFuaG0gMGU0ZWVkODMwMjQ4ZGE2Y2ZiMjZlZTNjNzM0YmRiZmE0YjQ4MjY0N2JjODI4OTkyNTQ3YzRjOGY1ZGU1MWQ0NkBn
2025-05-16T04:15:00-07:00,2025-05-16T06:30:00-07:00,FEL recovery,FEL recovery,930eV,,SC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=NmU1ajI5dG0yNGo4bmRmMWNtdHE3bmVxdmEgNGVkZmNjOWI5NTkwMzQ5MDlhYzkwMzU5MTc0ODIzNzBjMDA3YjI4ZGNlYWNiNmVkZDljOTIyM2YwZjk0NGE2ZUBn
2025-05-24T18:00:00-07:00,2025-05-25T10:00:00-07:00,TMO 1013335,Deliver to TMO,,,SC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=cDR0MmVlM2s4bHBodTdvZnI2YmxpbHRsaGMgZThjNTEyODhhYTZmZTg5YzczMDRmNjY1ZTRmZjU0MjQwMDU5YjUyYzBmMjI0MWQwZGJkZTkxMzk5ZjU2MmYzM0Bn
2025-09-16T18:00:00-07:00,2025-09-17T06:00:00-07:00,chemRIXS 1012375 Nibbering,Deliver to ChemRIXS,,400 eV,SC-ChemRIXS,,sase,,False,https://www.google.com/calendar/event?eid=MnFwYTQ3dDBvODBiN3F2MGUyMDVxbDVzZW8gMGU0ZWVkODMwMjQ4ZGE2Y2ZiMjZlZTNjNzM0YmRiZmE0YjQ4MjY0N2JjODI4OTkyNTQ3YzRjOGY1ZGU1MWQ0NkBn
2025-10-19T08:30:00-07:00,2025-10-19T18:00:00-07:00,TXI,Deliver to TXI,4.0 GeV CU_SXR,250 eV,NC-TXI,TXI_User_Time,sase,,False,https://www.google.com/calendar/event?eid=NnBmdTNtcW1kZmg0M2ZkNmtxZjdiZWFxYTQgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2025-10-28T06:00:00-07:00,2025-10-28T18:00:00-07:00,qRIXS 1012141 Lee,Deliver to qRIXS,,853 eV,SC-qRIXS,,sase,,False,https://www.google.com/calendar/event?eid=NWd2dGw5NThkY2RqZXBwNTlucDB0YmJ1OWMgYTkyNjQ0NmY3ZGYzN2ViYzBmZjlkZGM0Y2YwOWFiZDJmYTY5NmM1Mzc2OWY0MzU4MGFlYTc4YWU5N2ExOTkxMkBn
2025-11-23T06:00:00-08:00,2025-11-23T18:00:00-08:00,TMO 1008646 Rudenko,Deliver to TMO,"650 eV (150 uJ), 480-500 eV (150 uJ), 33 kHz, < 20 fs",,SC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=MDI3cnRpMW50ZmN2NXNubjc5cm8yaHFydG8gZThjNTEyODhhYTZmZTg5YzczMDRmNjY1ZTRmZjU0MjQwMDU5YjUyYzBmMjI0MWQwZGJkZTkxMzk5ZjU2MmYzM0Bn
2026-03-16T07:00:00-07:00,2026-03-16T18:00:00-07:00,chemRIXS 1016072 Kunnus,Deliver to ChemRIXS,7.4 GeV,"400 eV, 10 Hz",NC-ChemRIXS,2nd,sase,,False,https://www.google.com/calendar/event?eid=MGtoa20xZHE1azE4bzFzbjJkajVlMmQ5MGQgcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2026-04-17T07:00:00-07:00,2026-04-17T18:00:00-07:00,chemRIXS 1016071 Kunnus,Deliver to ChemRIXS,"8.0 GeV, Split undulator","530 eV, then 265+530 eV, 10 Hz",NC-ChemRIXS,2nd,sase,,False,https://www.google.com/calendar/event?eid=M3RrcmVrZGpjcG5zZ242Zmsxc3IzZDg4bzggcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2026-04-18T19:00:00-07:00,2026-04-19T06:00:00-07:00,qRIXS PAX Commissioning,Deliver to qRIXS,9.8 GeV,"1.2 keV eV, 10 Hz",NC-qRIXS,2nd,sase,,False,https://www.google.com/calendar/event?eid=MGRhcDFhb2NlczU4NTkxOXBzMGl0ZHFlNGUgcWJiZXUyNjQ2MThnYWg3bDI4a3FpcTg0cjhAZw
