PV
BEND:DMPH:400:BACT
USEG:UNDH:1450:GapAct
USEG:UNDH:1550:GapAct
USEG:UNDH:1650:GapAct
USEG:UNDH:1750:GapAct
USEG:UNDH:1850:GapAct
USEG:UNDH:1950:GapAct
USEG:UNDH:2050:GapAct
USEG:UNDH:2250:GapAct
USEG:UNDH:2350:GapAct
USEG:UNDH:2450:GapAct
USEG:UNDH:2550:GapAct
USEG:UNDH:2650:GapAct
USEG:UNDH:2750:GapAct
USEG:UNDH:2950:GapAct
USEG:UNDH:3050:GapAct
USEG:UNDH:3150:GapAct
USEG:UNDH:3250:GapAct
USEG:UNDH:3350:GapAct
USEG:UNDH:3450:GapAct
USEG:UNDH:3550:GapAct
USEG:UNDH:3650:GapAct
USEG:UNDH:3750:GapAct
USEG:UNDH:3850:GapAct
USEG:UNDH:3950:GapAct
USEG:UNDH:4050:GapAct
USEG:UNDH:4150:GapAct
USEG:UNDH:4250:GapAct
USEG:UNDH:4350:GapAct
USEG:UNDH:4450:GapAct
USEG:UNDH:4550:GapAct
USEG:UNDH:4650:GapAct
USEG:UNDH:4750:GapAct
